Cluster	clsy1234_r1	clsy1234_r2	col0_r1	col0_r2	nrpd1_3_r1	nrpd1_3_r2	NRPD1_3xF_Mut10_r1	NRPD1_3xF_Mut10_r2	NRPD1_3xF_Mut9_r1	NRPD1_3xF_Mut9_r2	NRPD1_3xF_WT2_r1	NRPD1_3xF_WT2_r2	WTSucSul_r1	WTSucSul_r2	nrpd1_49_r1	nrpd1_49_r2	nrpd1_50_r1	nrpd1_50_r2	nrpd1_51_r1	nrpd1_51_r2
merged_5_6348881	0	0	18.19	19.63	0	0	0	0.22	0.57	0.27	26.54	26	18.94	19.19	0.19	0.14	0.42	1.01	0	0.21
merged_5_11999418	0	0	1.53	1.52	0	0	0	0.06	0.22	0.05	3.04	3.22	4.58	3.03	0	0	0.32	0.29	0.18	0
merged_3_11525481	0	0.07	21.72	23.02	0	0.35	0.08	0.23	0.38	0.14	34.53	29.77	14.39	13.18	0	0	0.22	0.27	0	0
merged_4_11870008	0	0.26	10.95	13.39	0	0	0	0.27	0.26	0.25	22.88	19.16	11.97	11.73	0	0	0	0.47	0	0
merged_1_13841407	0	0.05	1.82	2.18	0	0	0	0	0.1	0.1	4.4	2.88	4.04	2.82	0	0	0.15	0.36	0	0
merged_3_18412110	0	0.16	10.26	11.97	0	0.09	0.09	0	0.16	0.08	15.39	15.39	2.64	2.89	0	0	0	0	0	0
merged_5_11267172	0	0.1	6.56	6.33	0	0	0	0	0.19	0.28	6.85	5.79	3.47	2.43	0	0.19	0	0	0	0
merged_2_993248	0.35	0.56	53.62	59.19	0.42	1.01	0.61	0.44	0.28	0.41	57.6	50.3	25.75	29.27	0.19	0	0	0	0	0
merged_4_1687919	0	0	7.75	8.71	0	0.02	0.01	0.04	0.07	0.1	13.4	11.72	12.8	13.17	0.6	0.46	0.71	0.59	0.02	0.02
merged_5_17201315	0	0.09	5.59	6.01	0	0.06	0.1	0	0.28	0.41	10.99	10.25	8.76	9.15	0	0	0.28	0.33	0	0.07
merged_1_15569958	0	0	1.54	1.53	0	0	0	0	0.04	0	3.69	2.47	1.72	2.53	0	0.07	0.11	0.13	0	0.05
merged_5_13906536	0	0.03	12.71	11.71	0	0.08	0.07	0.16	0.26	0.4	12.04	11.96	10.6	11.21	0.08	0.06	0.47	0.4	0.1	0.09
merged_3_10719211	0.33	0.21	37.63	39.01	0.08	0.31	0.45	0.38	0.32	0.2	46.79	49.1	8.5	7.87	0.07	0	0.08	0.19	0	0
